gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,consolidator,0.72,0,0.803616,"Consolidation signs: 3 payers/7 tx, 110,000 KZT in; forwarded 15% of recorded inflow; verify."
100000000018102100,terminal,0.45,0,0.418035,"Hop 4: 7,000 KZT from 1 payers/1 tx, 0 captured recipients; depth-cutoff artifact possible; terminal status unproven."
100000000031787100,transit,0.68,10,0.661649,"Transit signs: 1 payers/2 tx in, 2 recipients/4 tx out; forwarded 100% of recorded inflow. Verify."
100000000041368100,terminal,0.82,2,0.475089,"No captured outflow at hop 1; 160,000 KZT from 1 payers/1 tx. Observed-sample terminal; verify."
100000000076451100,coordinator,0.76,15,0.919137,"Coordination signs: 3 payers/4 tx in, 4 recipients/4 tx out; betweenness p94, 1 seeds within 2 hops. Verify."
100000000089154100,distributor,0.66,0,0.538373,"Fan-out signs: 15 recipients/21 tx, 425,500 KZT out; 1 payers/1 tx in. Verify."
100000000190228100,peripheral,0.50,17,0.722675,"1 payers/1 tx in (5,000 KZT), 1 recipients/1 tx out (28,560 KZT); no strong role signal."
100000000201868100,transit,0.68,3,0.622931,"Transit signs: 1 payers/1 tx in, 1 recipients/1 tx out; forwarded 100% of recorded inflow. Verify."
100000000254336100,peripheral,0.50,0,0.587061,"2 payers/2 tx in (97,177 KZT), 1 recipients/1 tx out (60,000 KZT); no strong role signal."
100000000267734100,distributor,0.66,10,0.819849,"Fan-out signs: 7 recipients/8 tx, 282,000 KZT out; 2 payers/4 tx in. Verify."
100000000274067100,distributor,0.66,10,0.778549,"Fan-out signs: 3 recipients/9 tx, 2,969,000 KZT out; 2 payers/9 tx in. Verify."
100000000287768100,terminal,0.82,0,0.288663,"No captured outflow at hop 3; 35,168 KZT from 1 payers/1 tx. Observed-sample terminal; verify."
100000000288317100,distributor,0.66,0,0.706820,"Fan-out signs: 3 recipients/3 tx, 53,500 KZT out; 2 payers/2 tx in. Verify."
100000000291906100,transit,0.68,49,0.875601,"Transit signs: 2 payers/3 tx in, 2 recipients/6 tx out; forwarded 117% of recorded inflow. Verify."
100000000291908100,peripheral,0.50,49,0.688818,"1 payers/5 tx in (295,500 KZT), 1 recipients/1 tx out (13,300 KZT); no strong role signal."
100000000297649100,peripheral,0.50,12,0.616789,"1 payers/1 tx in (40,000 KZT), 1 recipients/2 tx out (70,600 KZT); no strong role signal."
100000000299820100,terminal,0.45,4,0.478249,"Hop 4: 10,000 KZT from 1 payers/1 tx, 0 captured recipients; depth-cutoff artifact possible; terminal status unproven."
100000000307908100,terminal,0.82,42,0.397675,"No captured outflow at hop 2; 5,000 KZT from 1 payers/1 tx. Observed-sample terminal; verify."
100000000331309100,coordinator,0.76,6,0.976235,"Coordination signs: 5 payers/8 tx in, 99 recipients/126 tx out; betweenness p100, 9 seeds within 2 hops. Verify."
